GeographyCode,QS104EW0001,QS104EW0002,QS104EW0003
E06000001,92028,44751,47277
E06000002,138412,67732,70680
E06000003,135177,65655,69522
E06000004,191610,94082,97528
E06000005,105564,51483,54081
E06000006,125746,61368,64378
E06000007,202228,100300,101928
E06000008,147489,73547,73942
E06000009,142065,69775,72290
E06000010,256406,128420,127986
E06000011,334179,163388,170791
E06000012,159616,78247,81369
E06000013,167446,82623,84823
E06000014,198051,96254,101797
E06000015,248752,123046,125706
E06000016,329839,162884,166955
E06000017,37369,18915,18454
E06000018,305680,153777,151903
E06000019,183477,90302,93175
E06000020,166641,82549,84092
E06000021,249008,123995,125013
E06000022,176016,86072,89944
E06000023,428234,213071,215163
E06000024,202566,98463,104103
E06000025,262767,130424,132343
E06000026,256384,126684,129700
E06000027,130959,63110,67849
E06000028,183491,91386,92105
E06000029,147645,72121,75524
E06000030,209156,104618,104538
E06000031,183631,90859,92772
E06000032,203201,101954,101247
E06000033,173658,85037,88621
E06000034,157705,77823,79882
E06000035,263925,130825,133100
E06000036,113205,56107,57098
E06000037,153822,76321,77501
E06000038,155698,77967,77731
E06000039,140205,70120,70085
E06000040,144560,71328,73232
E06000041,154380,76464,77916
E06000042,248821,123116,125705
E06000043,273369,136108,137261
E06000044,205056,103201,101855
E06000045,236882,119453,117429
E06000046,138265,67424,70841
E06000047,513242,251280,261962
E06000048,316028,154124,161904
E06000049,370127,181409,188718
E06000050,329608,160586,169022
E06000051,306129,151606,154523
E06000052,532273,257805,274468
E06000053,2203,1102,1101
E06000054,470981,231754,239227
E06000055,157479,77312,80167
E06000056,254381,126044,128337
E07000004,174137,86241,87896
E07000005,92635,45049,47586
E07000006,66867,32439,34428
E07000007,171644,84617,87027
E07000008,123867,62984,60883
E07000009,83818,41443,42375
E07000010,95262,46811,48451
E07000011,169508,84532,84976
E07000012,148755,73790,74965
E07000026,96422,47371,49051
E07000027,69087,34185,34902
E07000028,107524,52478,55046
E07000029,70603,35476,35127
E07000030,52564,26033,26531
E07000031,103658,50522,53136
E07000032,122309,60192,62117
E07000033,75866,37388,38478
E07000034,103788,50900,52888
E07000035,71116,35071,36045
E07000036,112081,54934,57147
E07000037,90892,44774,46118
E07000038,99023,48564,50459
E07000039,94611,46963,47648
E07000040,132457,63321,69136
E07000041,117773,57211,60562
E07000042,77750,38070,39680
E07000043,93667,45558,48109
E07000044,83140,40116,43024
E07000045,124220,60179,64041
E07000046,63839,31167,32672
E07000047,53553,26123,27430
E07000048,47752,22874,24878
E07000049,87166,41990,45176
E07000050,68583,34216,34367
E07000051,44973,22028,22945
E07000052,99264,47731,51533
E07000053,65167,32432,32735
E07000061,99412,47559,51853
E07000062,90254,44014,46240
E07000063,97502,47363,50139
E07000064,90588,43021,47567
E07000065,148915,71807,77108
E07000066,174497,84645,89852
E07000067,147084,72137,74947
E07000068,73601,35582,38019
E07000069,88011,42907,45104
E07000070,168310,82914,85396
E07000071,173074,85343,87731
E07000072,124659,60440,64219
E07000073,81944,39674,42270
E07000074,61629,30458,31171
E07000075,83287,40787,42500
E07000076,138048,66071,71977
E07000077,79443,39203,40240
E07000078,115732,56512,59220
E07000079,82881,40104,42777
E07000080,81961,40272,41689
E07000081,121688,60104,61584
E07000082,112779,55514,57265
E07000083,81943,40080,41863
E07000084,167799,83116,84683
E07000085,115608,56237,59371
E07000086,125199,61384,63815
E07000087,111581,54634,56947
E07000088,82622,40736,41886
E07000089,91033,45174,45859
E07000090,120684,58607,62077
E07000091,176462,84784,91678
E07000092,93807,46757,47050
E07000093,116398,56880,59518
E07000094,116595,56629,59966
E07000095,93609,45357,48252
E07000096,144847,71307,73540
E07000097,137687,67690,69997
E07000098,100031,48290,51741
E07000099,127114,62380,64734
E07000100,140664,69040,71624
E07000101,83957,41483,42474
E07000102,87317,42371,44946
E07000103,90301,44828,45473
E07000104,110535,54364,56171
E07000105,117956,57232,60724
E07000106,151145,72638,78507
E07000107,97365,48061,49304
E07000108,111674,54765,56909
E07000109,101720,50139,51581
E07000110,155143,76492,78651
E07000111,114893,55743,59150
E07000112,107969,53135,54834
E07000113,135835,67152,68683
E07000114,134186,64555,69631
E07000115,120805,59207,61598
E07000116,115049,56494,58555
E07000117,87059,42794,44265
E07000118,107155,53708,53447
E07000119,75757,36781,38976
E07000120,80734,39977,40757
E07000121,138375,66841,71534
E07000122,89452,44012,45440
E07000123,140202,70284,69918
E07000124,57132,27973,29159
E07000125,67982,33367,34615
E07000126,109057,53344,55713
E07000127,110685,53840,56845
E07000128,107749,52225,55524
E07000129,93915,46228,47687
E07000130,166100,82913,83187
E07000131,85382,42353,43029
E07000132,105078,51700,53378
E07000133,50376,24718,25658
E07000134,93468,46335,47133
E07000135,56170,27169,29001
E07000136,64637,31536,33101
E07000137,136401,66427,69974
E07000138,93541,45773,47768
E07000139,107766,52603,55163
E07000140,88270,43119,45151
E07000141,133788,64656,69132
E07000142,89250,43491,45759
E07000143,130491,64566,65925
E07000144,124646,60794,63852
E07000145,97277,47762,49515
E07000146,147451,72053,75398
E07000147,101499,49203,52296
E07000148,132512,65267,67245
E07000149,124012,60515,63497
E07000150,61255,30147,31108
E07000151,77843,38899,38944
E07000152,86765,43058,43707
E07000153,93475,45896,47579
E07000154,212069,104168,107901
E07000155,85189,42098,43091
E07000156,75356,37076,38280
E07000163,55409,26754,28655
E07000164,89140,43982,45158
E07000165,157869,77037,80832
E07000166,51965,27407,24558
E07000167,51751,25413,26338
E07000168,108793,52570,56223
E07000169,83449,40947,42502
E07000170,119497,58665,60832
E07000171,112863,56024,56839
E07000172,109487,54118,55369
E07000173,113543,55348,58195
E07000174,104466,51308,53158
E07000175,114817,56556,58261
E07000176,111129,54703,56426
E07000177,141868,70126,71742
E07000178,151906,75335,76571
E07000179,134257,66005,68252
E07000180,120988,60058,60930
E07000181,104779,51447,53332
E07000187,109279,53387,55892
E07000188,114588,56048,58540
E07000189,161243,79106,82137
E07000190,110187,53280,56907
E07000191,34675,16575,18100
E07000192,97462,48126,49336
E07000193,113583,56385,57198
E07000194,100654,49920,50734
E07000195,123871,61206,62665
E07000196,108131,53243,54888
E07000197,130869,65554,65315
E07000198,97106,47790,49316
E07000199,76813,37694,39119
E07000200,87740,43004,44736
E07000201,59748,30153,29595
E07000202,133384,66428,66956
E07000203,96731,47924,48807
E07000204,111008,55594,55414
E07000205,124298,60663,63635
E07000206,115254,56021,59233
E07000207,130875,63462,67413
E07000208,75102,36412,38690
E07000209,137183,67923,69260
E07000210,85375,41749,43626
E07000211,137835,67422,70413
E07000212,80510,39148,41362
E07000213,95598,47053,48545
E07000214,86144,42868,43276
E07000215,82998,40158,42840
E07000216,121572,59326,62246
E07000217,99198,49144,50054
E07000218,62014,30604,31410
E07000219,125252,61441,63811
E07000220,100075,49884,50191
E07000221,120485,58497,61988
E07000222,137648,68650,68998
E07000223,61182,29513,31669
E07000224,149518,71303,78215
E07000225,113794,54401,59393
E07000226,106597,52698,53899
E07000227,131301,63806,67495
E07000228,139860,68462,71398
E07000229,104640,50384,54256
E07000234,93637,46300,47337
E07000235,74631,36336,38295
E07000236,84214,41848,42366
E07000237,98768,48563,50205
E07000238,116944,57445,59499
E07000239,97975,48299,49676
E08000001,276786,136660,140126
E08000002,185060,90588,94472
E08000003,503127,252623,250504
E08000004,224897,110155,114742
E08000005,211699,103642,108057
E08000006,233933,116782,117151
E08000007,283275,138400,144875
E08000008,219324,107650,111674
E08000009,226578,110959,115619
E08000010,317849,157996,159853
E08000011,145893,69329,76564
E08000012,466415,230483,235932
E08000013,175308,86138,89170
E08000014,273790,131237,142553
E08000015,319783,153847,165936
E08000016,231221,113634,117587
E08000017,302402,149230,153172
E08000018,257280,126247,131033
E08000019,552698,272661,280037
E08000020,200214,97974,102240
E08000021,280177,140226,139951
E08000022,200801,96883,103918
E08000023,148127,71560,76567
E08000024,275506,133953,141553
E08000025,1073045,527806,545239
E08000026,316960,157621,159339
E08000027,312925,153819,159106
E08000028,308063,151592,156471
E08000029,206674,100352,106322
E08000030,269323,132319,137004
E08000031,249470,123441,126029
E08000032,522452,257132,265320
E08000033,203826,99627,104199
E08000034,422458,208657,213801
E08000035,751485,367935,383550
E08000036,325837,159913,165924
E09000001,7375,4091,3284
E09000002,185911,90237,95674
E09000003,356386,172676,183710
E09000004,231997,111676,120321
E09000005,311215,156468,154747
E09000006,309392,148588,160804
E09000007,220338,107885,112453
E09000008,363378,176224,187154
E09000009,338449,169175,169274
E09000010,312466,150654,161812
E09000011,254557,126224,128333
E09000012,246270,122029,124241
E09000013,182493,88914,93579
E09000014,254926,126224,128702
E09000015,239056,118023,121033
E09000016,237232,114209,123023
E09000017,273936,135811,138125
E09000018,253957,127397,126560
E09000019,206125,101405,104720
E09000020,158649,78194,80455
E09000021,160060,78103,81957
E09000022,303086,150921,152165
E09000023,275885,134957,140928
E09000024,199693,98515,101178
E09000025,307984,160336,147648
E09000026,278970,138073,140897
E09000027,186990,91149,95841
E09000028,288283,142618,145665
E09000029,190146,92443,97703
E09000030,254096,130906,123190
E09000031,258249,128970,129279
E09000032,306995,148646,158349
E09000033,219396,111548,107848
W06000001,69751,34274,35477
W06000002,121874,59906,61968
W06000003,115228,55749,59479
W06000004,93734,45987,47747
W06000005,152506,75247,77259
W06000006,134844,67052,67792
W06000008,75922,37793,38129
W06000009,122439,59823,62616
W06000010,183777,89837,93940
W06000011,239023,118087,120936
W06000012,139812,68450,71362
W06000013,139178,68789,70389
W06000014,126336,61522,64814
W06000015,346090,169893,176197
W06000016,234410,114635,119775
W06000018,178806,87701,91105
W06000019,69814,34325,35489
W06000020,91075,44382,46693
W06000021,91323,44922,46401
W06000022,145736,71380,74356
W06000023,132976,65683,67293
W06000024,58802,28791,30011
